"agencyName","agencyAcronym","agencyWebsite"
"Administración de Asuntos Federales de Puerto Rico","PRFAA","https://prfaa.pr.gov"
"Administración de Compensaciones por Accidentes de Automóviles","ACAA","http://www.acaa.pr.gov/"
"Administración de Desarrollo Socioeconómico de la Familia","ADSEF","https://servicios.adsef.pr.gov"
"Administración de Familias y Niños","ADFAN","https://adfan.pr.gov"
"Administración de Instituciones Juveniles","AIJ","http://dcr.pr.gov/"
"Administración de Rehabilitación Vocacional","ARV","http://www.arv.pr.gov"
"Administración de Seguros de Salud","ASES","https://www.asespr.org"
"Administración de Servicios Generales","ASG","https://asg.pr.gov"
"Administración de Servicios Médicos (Dpto. Salud)","ASEM","https://www.asem.pr.gov/"
"Administración de Servicios de Salud Mental y Contra la Adicción (Dpto. Salud)","ASSMCA","https://assmca.pr.gov"
"Administración de Terrenos","AT","https://www.terrenos.pr.gov"
"Administración de Vivienda Pública","AVP","https://www.avp.pr.gov"
"Administración de los Sistemas de Retiro de los Empleados del Gobierno y la Judicatura","ASR","http://www.retiro.pr.gov"
"Administración del Derecho al Trabajo","",""
"Administración para el Adiestramiento de Futuros Empresarios y Trabajadores","",""
"Administración para el Cuidado y Desarrollo Integral de la Niñez","ACUDEN","https://acuden.pr.gov/"
"Administración para el Desarrollo de Empresas Agropecuarias","ADEA","https://www.agricultura.pr/"
"Administración para el Sustento de Menores","ASUME","https://asume.pr.gov/"
"Agencia Estatal para el Manejo de Emergencias y Administración de Desastres","AEMEAD","https://manejodeemergencias.pr.gov/"
"Autoridad Metropolitana de Autobuses","AMA","https://www.dtop.pr.gov/ama"
"Autoridad de Acueductos y Alcantarillados","AAA","https://www.acueductospr.com/"
"Autoridad de Carreteras y Transportación","ACT","https://act.dtop.pr.gov/"
"Autoridad de Desperdicios Sólidos","ADS","https://www.drna.pr.gov/otrora-ads/"
"Autoridad de Edificios Públicos","AEP","http://www.aep.pr.gov/"
"Autoridad de Energía Eléctrica","AEE","https://aeepr.com/"
"Autoridad de Tierras de Puerto Rico","ATPR","https://www.agricultura.pr/autoridad-tierras"
"Autoridad de Transporte Marítimo","ATM","https://www.puertoricoferry.com/"
"Autoridad de los Puertos","AP","https://www.prpa.pr.gov/"
"Autoridad del Distrito del Centro de Convenciones de Puerto Rico","ADCCPR","http://www.prcda.com"
"Autoridad del Puerto de Ponce","APA","https://www.ppa.pr.gov/"
"Autoridad para el Financiamiento de Facilidades Industriales, Turísticas, Educativas, Médicas y de Control Ambiental","AFICA","http://www.gdb-pur.com/spa/affiliates/afica.html"
"Autoridad para el Financiamiento de la Infraestructura de Puerto Rico","AFI","https://afi.pr.gov"
"Autoridad para el Financiamiento de la Vivienda","AFV","http://www.afv.pr.gov"
"Autoridad para las Alianzas Público Privadas","AAPP","https://www.p3.pr.gov/"
"Banco Gubernamental de Fomento","BGF","http://www.gdb-pur.com/spa"
"Banco de Desarrollo Económico","BDE","https://www.bde.pr.gov/"
"Centro de Diabetes para Puerto Rico","CDPR","https://www.diabetes.pr.gov/"
"Centro de Recaudaciones de Ingresos Municipales","CRIM","https://portal.crim360.com/"
"Comisión Apelativa del Servicio Público","CASP","http://www.casp.pr.gov"
"Comisión Estatal de Elecciones","CEE","https://www.ceepur.org/"
"Comisión Industrial de Puerto Rico","CIPR","https://www.cipr.pr.gov/"
"Comisión de Desarrollo Cooperativo de Puerto Rico","CDCOOP","https://cdcoop.pr.gov/"
"Comisión de Investigación, Procesamiento y Apelación","CIPA","https://www.cipa.pr.gov"
"Comisión de Juegos del Gobierno de Puerto Rico","AIDH","https://comjuegos.pr.gov/"
"Comisión para la Seguridad en el Tránsito","CST","http://www.comisionparalaseguridadeneltransito.com/"
"Compañía de Fomento Industrial","PRIDCO","https://pridco.pr.gov/es"
"Compañía de Turismo de Puerto Rico","Turismo","https://prtourism.com/?lang=es"
"Compañía para el Desarrollo Integral de la Península de Cantera","Península","https://peninsuladecantera.com/"
"Corporación Pública para la Supervisión y Seguros de Cooperativas de Puerto Rico","COSSEC","https://www.cossec.pr.gov"
"Corporación de Puerto RicoR para la Difusión Pública","WIPR","https://wipr.pr/"
"Corporación de Seguros Agrícolas","CSA","https://www.agricultura.pr/csa"
"Corporación del Centro Bellas Artes","CBA","https://www.cba.pr.gov"
"Corporación del Centro Cardiovascular de Puerto Rico y el Caribe","CCCPRC","https://www.cardiovascular.pr.gov/"
"Corporación del Conservatorio de Música","CCM","https://cmpr.edu/"
"Corporación del Fondo del Seguro del Estado","CFSE","https://www.fondopr.com/"
"Corporación del Proyecto ENLACE del Caño Martín Peña","ENLACE","http://martinpena.org/"
"Corporación para las Artes Musicales","CAM",""
"Cuerpo de Bomberos de Puerto Rico","Bomberos","https://bomberos.pr.gov"
"Cuerpo de Emergencias Médicas","CEM","https://cempr.pr.gov/"
"Defensoría de las Personas con Impedimentos","DPI","https://dpi.pr.gov/"
"Departamento de Agricultura","DA","https://www.agricultura.pr/"
"Departamento de Asuntos del Consumidor","DACO","https://www.daco.pr.gov"
"Departamento de Corrección y Rehabilitación","DCR","http://dcr.pr.gov"
"Departamento de Desarrollo Económico y Comercio","DDEC","https://www.ddec.pr.gov"
"Departamento de Educación","DE","https://de.pr.gov"
"Departamento de Estado","Estado","https://www.estado.pr.gov/"
"Departamento de Hacienda","DH","https://hacienda.pr.gov"
"Departamento de Justicia","DJ","http://www.justicia.pr.gov/"
"Departamento de Recreación y Deportes","DRD","https://www.drdpuertorico.com/"
"Departamento de Recursos Naturales y Ambientales","DRNA","https://www.drna.pr.gov/"
"Departamento de Salud","DS","https://www.salud.gov.pr/"
"Departamento de Transportación y Obras Públicas","DTOP","https://www.dtop.pr.gov/"
"Departamento de la Familia","DF","https://familia.pr.gov"
"Departamento de la Vivienda","DV","https://www.vivienda.pr.gov/"
"Departamento del Trabajo y Recursos Humanos","DTRH","http://www.trabajo.pr.gov"
"Escuela de Artes Plásticas","EAP","https://www.eap.edu"
"Fideicomiso Institucional de la Guardia Nacional de Puerto Rico","FIGNA","http://figna.pr.gov/"
"Guardia Nacional de Puerto Rico","GNPR",""
"Instituto de Ciencias Forenses","ICF","http://www.icf.pr.gov"
"Instituto de Cultura Puertorriqueña","ICP","https://www.icp.pr.gov/"
"Instituto de Estadísticas de Puerto Rico","IEPR","https://estadisticas.pr"
"Junta Reglamentadora de Telecomunicaciones","JRTPR","https://jrtpr.pr.gov/"
"Junta de Calidad Ambiental","JCA","https://www.drna.pr.gov/otrora-jca/"
"Junta de Libertad Bajo Palabra","JLBP","https://jlbp.pr.gov/"
"Junta de Planificación","JP","https://jp.pr.gov/"
"Junta de Relaciones del Trabajo","JRT","https://jrt.pr.gov/"
"Negociado de la Policía de Puerto Rico","NPPR","https://policia.pr.gov/"
"Negociado del 911",911,"https://www.dsp.pr.gov/negociados/negociado-de-sistema-de-emergencias-9-1-1"
"Oficina Estatal de Conservación Histórica","OECH","https://oech.pr.gov/"
"Oficina Estatal de Política Pública Energética","OEPPE","https://ddec.pr.gov/programa-de-politica-publica-energetica"
"Oficina de Administración y Transformación de los Recursos Humanos del Gobierno de Puerto Rico","OATRH","https://oatrh.pr.gov/"
"Oficina de Gerencia de Permisos","OGPe","https://sbp.ogpe.pr.gov/"
"Oficina de Gerencia y Presupuesto","OGP","https://ogp.pr.gov/"
"Oficina de la Procuradora de las Mujeres","OPM","https://www.mujer.pr.gov/"
"Oficina de Ética Gubernamental","OEGPR","https://www.eticapr.net/"
"Oficina del Comisionado de Instituciones Financieras","OCIF","https://ocif.pr.gov/"
"Oficina del Comisionado de Seguros","OCS","https://ocs.pr.gov/"
"Oficina del Contralor Electoral","OCE","http://oce.pr.gov"
"Oficina del Gobernador","Fortaleza","https://www.fortaleza.pr.gov/"
"Oficina del Procurador de las Personas de Edad Avanzada","OPPEA","https://oppea.pr.gov/"
"Oficina del Procurador del Paciente","OPP","https://opp.pr.gov/"
"Oficina del Procurador del Veterano","OPV","https://opv.pr.gov"
"Oficina para el Desarrollo Socioeconómico y Comunitario","ODSEC",""
"Panel sobre el Fiscal Especial Independiente","FEI","http://panelfei.com/"
"Puerto Rico Innovation & Technology Service","PRITS","https://www.prits.pr.gov/"
"Universidad de Puerto Rico","UPR","https://www.upr.edu/"